행정구역,,,2023년03월_거주자_0세,2023년03월_거주자_1세,2023년03월_거주자_2세,2023년03월_거주자_3세,2023년03월_거주자_4세,2023년03월_거주자_5세,2023년03월_거주자_6세,2023년03월_거주자_7세,2023년03월_거주자_8세,2023년03월_거주자_9세,2023년03월_거주자_10세,2023년03월_거주자_11세,2023년03월_거주자_12세,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
서울특별시  (1100000000),,,"39,815","43,458","43,905","46,512","49,850","53,407","60,133","66,195","66,482","65,858","72,835","71,582","73,778",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
서울특별시 종로구 (1111000000),,,424,473,474,550,523,602,716,818,809,803,951,872,993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
서울특별시 중구 (1114000000),,,543,556,572,551,537,582,646,651,580,628,630,613,582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
서울특별시 용산구 (1117000000),,,"1,038","1,019","1,053","1,105","1,129","1,162","1,228","1,350","1,296","1,284","1,371","1,341","1,300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
서울특별시 성동구 (1120000000),,,"1,514","1,710","1,678","1,715","1,766","1,834","1,956","1,833","1,955","1,789","1,879","1,781","1,651",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
서울특별시 광진구 (1121500000),,,"1,166","1,288","1,292","1,386","1,482","1,521","1,782","2,019","2,022","2,135","2,262","2,247","2,299",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
서울특별시 동대문구 (1123000000),,,"1,346","1,505","1,610","1,778","1,749","1,869","2,051","2,211","2,175","2,043","2,257","2,166","2,162",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
서울특별시 중랑구 (1126000000),,,"1,791","1,774","1,640","1,800","1,972","2,036","2,207","2,344","2,219","2,294","2,426","2,419","2,350",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
서울특별시 성북구 (1129000000),,,"1,775","2,037","2,018","2,188","2,415","2,489","2,921","3,270","3,129","3,142","3,389","3,407","3,485",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
서울특별시 강북구 (1130500000),,,813,982,988,"1,017","1,180","1,344","1,431","1,555","1,550","1,686","1,838","1,857","1,891",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
서울특별시 도봉구 (1132000000),,,"1,010","1,180","1,119","1,344","1,349","1,567","1,693","1,960","2,002","1,897","2,173","2,163","2,261",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
서울특별시 노원구 (1135000000),,,"2,074","2,174","2,166","2,267","2,348","2,689","3,093","3,545","3,676","3,651","4,120","4,220","4,578",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
서울특별시 은평구 (1138000000),,,"1,915","2,019","2,083","2,150","2,379","2,476","2,814","3,071","3,180","3,013","3,434","3,307","3,460",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
서울특별시 서대문구 (1141000000),,,"1,396","1,493","1,550","1,616","1,742","1,899","2,067","2,255","2,267","2,157","2,228","2,121","2,223",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
서울특별시 마포구 (1144000000),,,"1,698","1,814","1,812","1,861","2,091","2,115","2,560","2,643","2,546","2,352","2,712","2,530","2,661",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
서울특별시 양천구 (1147000000),,,"1,545","1,748","1,895","1,998","2,315","2,583","3,151","3,597","3,751","3,971","4,584","4,529","4,931",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
서울특별시 강서구 (1150000000),,,"2,622","2,688","2,785","3,002","2,995","3,244","3,614","4,039","3,935","3,987","4,462","4,319","4,180",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
서울특별시 구로구 (1153000000),,,"2,029","2,108","2,093","2,202","2,297","2,351","2,476","2,790","2,712","2,730","2,963","2,834","2,937",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
서울특별시 금천구 (1154500000),,,961,931,959,938,"1,014","1,061","1,094","1,223","1,149","1,149","1,329","1,245","1,279",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
서울특별시 영등포구 (1156000000),,,"2,066","2,209","2,125","2,173","2,299","2,449","2,413","2,568","2,508","2,334","2,434","2,400","2,303",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
서울특별시 동작구 (1159000000),,,"1,566","1,709","1,764","1,829","2,006","2,117","2,295","2,648","2,644","2,390","2,611","2,560","2,657",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
서울특별시 관악구 (1162000000),,,"1,444","1,559","1,432","1,597","1,560","1,715","1,943","2,113","2,149","2,095","2,308","2,383","2,325",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
서울특별시 서초구 (1165000000),,,"1,694","2,015","2,109","2,241","2,620","2,860","3,303","3,749","3,928","4,027","4,545","4,420","4,771",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
서울특별시 강남구 (1168000000),,,"1,911","2,159","2,286","2,439","2,760","3,138","3,740","4,313","4,679","5,005","5,744","5,868","6,386",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
서울특별시 송파구 (1171000000),,,"3,041","3,618","3,717","3,931","4,315","4,523","5,385","5,749","5,609","5,464","6,072","5,987","6,021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
서울특별시 강동구 (1174000000),,,"2,433","2,690","2,685","2,834","3,007","3,181","3,554","3,881","4,012","3,832","4,113","3,993","4,092",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
